computer,process_key,window_start,event_count,unique_images,unique_files,unique_extensions,unique_destination_ips,suspicious_path_count,file_activity_count,registry_activity_count,network_activity_count,event_1_count,event_3_count,event_7_count,event_11_count,event_12_count,event_13_count,event_23_count,event_26_count,label,technique_id,scenario,source,source_kind,dataset_source,representation
win-dc-228.attackrange.local,{5ABCFE62-8423-603E-0100-00000000AD01},2021-03-04 14:04:00+00:00,2,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-8423-603E-0100-00000000AD01},2021-03-04 14:07:55+00:00,2,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-8423-603E-0100-00000000AD01},2021-03-04 14:09:00+00:00,2,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-8423-603E-0100-00000000AD01},2021-03-04 14:10:05+00:00,2,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842D-603E-0B00-00000000AD01},2021-03-03 15:27:40+00:00,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842D-603E-0B00-00000000AD01},2021-03-04 13:50:10+00:00,10,1,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842D-603E-0B00-00000000AD01},2021-03-04 13:50:50+00:00,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842D-603E-0B00-00000000AD01},2021-03-04 13:51:50+00:00,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842D-603E-0B00-00000000AD01},2021-03-04 13:52:50+00:00,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842D-603E-0B00-00000000AD01},2021-03-04 13:53:15+00:00,2,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842D-603E-0B00-00000000AD01},2021-03-04 13:53:50+00:00,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842D-603E-0B00-00000000AD01},2021-03-04 13:54:00+00:00,2,1,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842D-603E-0B00-00000000AD01},2021-03-04 13:54:50+00:00,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842D-603E-0B00-00000000AD01},2021-03-04 13:55:10+00:00,10,1,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842D-603E-0B00-00000000AD01},2021-03-04 13:55:50+00:00,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842D-603E-0B00-00000000AD01},2021-03-04 13:56:50+00:00,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842D-603E-0B00-00000000AD01},2021-03-04 13:57:50+00:00,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842D-603E-0B00-00000000AD01},2021-03-04 13:58:15+00:00,2,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842D-603E-0B00-00000000AD01},2021-03-04 13:58:50+00:00,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842D-603E-0B00-00000000AD01},2021-03-04 13:59:00+00:00,2,1,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842D-603E-0B00-00000000AD01},2021-03-04 13:59:50+00:00,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842D-603E-0B00-00000000AD01},2021-03-04 14:00:05+00:00,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842D-603E-0B00-00000000AD01},2021-03-04 14:00:10+00:00,10,1,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842D-603E-0B00-00000000AD01},2021-03-04 14:00:50+00:00,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842D-603E-0B00-00000000AD01},2021-03-04 14:01:50+00:00,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842D-603E-0B00-00000000AD01},2021-03-04 14:02:50+00:00,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842D-603E-0B00-00000000AD01},2021-03-04 14:03:15+00:00,2,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842D-603E-0B00-00000000AD01},2021-03-04 14:03:50+00:00,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842D-603E-0B00-00000000AD01},2021-03-04 14:04:00+00:00,6,1,0,0,2,0,0,0,6,0,6,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842D-603E-0B00-00000000AD01},2021-03-04 14:04:50+00:00,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842D-603E-0B00-00000000AD01},2021-03-04 14:05:10+00:00,10,1,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842D-603E-0B00-00000000AD01},2021-03-04 14:05:50+00:00,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842D-603E-0B00-00000000AD01},2021-03-04 14:06:50+00:00,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842D-603E-0B00-00000000AD01},2021-03-04 14:07:50+00:00,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842D-603E-0B00-00000000AD01},2021-03-04 14:07:55+00:00,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842D-603E-0B00-00000000AD01},2021-03-04 14:08:15+00:00,2,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842D-603E-0B00-00000000AD01},2021-03-04 14:08:50+00:00,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842D-603E-0B00-00000000AD01},2021-03-04 14:09:00+00:00,2,1,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842D-603E-0B00-00000000AD01},2021-03-04 14:09:50+00:00,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842D-603E-0B00-00000000AD01},2021-03-04 14:10:10+00:00,10,1,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842D-603E-0B00-00000000AD01},2021-03-04 14:10:50+00:00,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842F-603E-0D00-00000000AD01},2021-03-04 13:53:10+00:00,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842F-603E-0D00-00000000AD01},2021-03-04 13:58:10+00:00,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842F-603E-0D00-00000000AD01},2021-03-04 14:03:10+00:00,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842F-603E-0D00-00000000AD01},2021-03-04 14:04:00+00:00,2,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842F-603E-0D00-00000000AD01},2021-03-04 14:08:10+00:00,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842F-603E-0F00-00000000AD01},2021-03-04 13:54:00+00:00,2,1,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842F-603E-0F00-00000000AD01},2021-03-04 13:59:00+00:00,2,1,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842F-603E-0F00-00000000AD01},2021-03-04 14:04:00+00:00,2,1,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842F-603E-0F00-00000000AD01},2021-03-04 14:09:00+00:00,2,1,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842F-603E-1100-00000000AD01},2021-03-03 15:28:10+00:00,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842F-603E-1100-00000000AD01},2021-03-04 13:50:20+00:00,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842F-603E-1100-00000000AD01},2021-03-04 13:51:20+00:00,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842F-603E-1100-00000000AD01},2021-03-04 13:52:20+00:00,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842F-603E-1100-00000000AD01},2021-03-04 13:53:20+00:00,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842F-603E-1100-00000000AD01},2021-03-04 13:54:20+00:00,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842F-603E-1100-00000000AD01},2021-03-04 13:55:20+00:00,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842F-603E-1100-00000000AD01},2021-03-04 13:56:20+00:00,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842F-603E-1100-00000000AD01},2021-03-04 13:57:20+00:00,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842F-603E-1100-00000000AD01},2021-03-04 13:58:20+00:00,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842F-603E-1100-00000000AD01},2021-03-04 13:59:20+00:00,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842F-603E-1100-00000000AD01},2021-03-04 14:00:05+00:00,13,1,0,0,1,0,0,12,1,0,1,0,0,0,12,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842F-603E-1100-00000000AD01},2021-03-04 14:00:20+00:00,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842F-603E-1100-00000000AD01},2021-03-04 14:01:20+00:00,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842F-603E-1100-00000000AD01},2021-03-04 14:02:20+00:00,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842F-603E-1100-00000000AD01},2021-03-04 14:03:20+00:00,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842F-603E-1100-00000000AD01},2021-03-04 14:04:20+00:00,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842F-603E-1100-00000000AD01},2021-03-04 14:05:20+00:00,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842F-603E-1100-00000000AD01},2021-03-04 14:06:20+00:00,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842F-603E-1100-00000000AD01},2021-03-04 14:07:20+00:00,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842F-603E-1100-00000000AD01},2021-03-04 14:08:20+00:00,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842F-603E-1100-00000000AD01},2021-03-04 14:09:20+00:00,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842F-603E-1100-00000000AD01},2021-03-04 14:10:20+00:00,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
win-dc-228.attackrange.local,{5ABCFE62-842F-603E-1100-00000000AD01},2021-03-04 14:11:20+00:00,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log,,,
